,terms
728,forced landing commercial fixed-wing aircraft injuring occupant sequela
729,vascular disorders iris ciliary body eye
730,contusion urethra
731,puncture wound foreign body head sequela
732,exposure rapid pressure ascent
733,displaced fracture body scapula shoulder sequela
734,nonspecific intraventricular block
735,ear piercing
736,subluxation unspecified scapula
737,nondisplaced fracture avulsion medial epicondyle unspecified humerus sequela
738,paralytic syndrome unspecified cerebrovascular disease affecting unspecified
739,carbuncle sites
740,unspecified corneal neovascularization bilateral
741,superficial bite abdominal
742,burkitt lymphoma lymph nodes inguinal region limb
743,nonrheumatic pulmonary valve disorder unspecified
744,abnormal jaw closure
745, 57f  with htn  dm  elev chol  obesity  presented at 
746,diabetes mellitus periodontal disease
747,traumatic cerebral edema loss consciousness unspecified sequela
748,cutaneous abscess buttock
749,anterior subluxation proximal tibia knee sequela
750,traumatic compartment syndrome sites sequela
751,problem upbringing unspecified
752,rheumatoid heart disease rheumatoid arthritis knee
753, acute mental status change
754,acute toxic conjunctivitis unspecified eye
755,cyst bone unspecified ankle foot
756,specified acquired deformities unspecified arm
757,algoneurodystrophy unspecified arm
758,gastroduodenitis unspecified bleeding
759,nondisplaced transverse fracture shaft unspecified femur fracture malunion
760,unspecified fracture shaft fibula fracture nonunion
761,nondisplaced dome fracture talus fracture healing
762,inappropriate eating habits
763,unspecified wound unspecified hand sequela
764,passenger three-wheeled injured noncollision transport accident nontraffic accident
765,Prior right hydropneumothorax
766,complication surgical unspecified sequela
767,sprain unspecified ligament unspecified ankle sequela
768,glaucoma secondary eye disorders unspecified eye mild stage
769,unspecified fracture leg fracture iiia iiib iiic healing
770,effects weightlessness sequela
771,passenger bus injured collision nonmotor nontraffic accident sequela
772,acute frontal sinusitis
773,unspecified dislocation knee sequela
774,specified deforming dorsopathies cervicothoracic region
775, vasospasm
776,displaced fracture avulsion lateral epicondyle humerus fracture
777,intervertebral disc stenosis neural canal head region
778,gonococcal infection musculoskeletal unspecified
779,nondisplaced fracture lateral condyle humerus fracture malunion
780,corneal ulcer hypopyon unspecified eye
781,personal malignant neoplasm digestive organs
782,nondisplaced fracture tuberosity unspecified humerus fracture
783,infection inflammatory reaction implanted electronic neurostimulator brain electrode
784,complication surgical unspecified
785, endometrial cancer 
786,drug-induced cataract unspecified eye
787,specified nonscarring loss
788,physical abuse suspected sequela
789,injury sciatic nerve hip thigh unspecified leg sequela
790,drowning submersion accident passenger ship sequela
791,fusion spine site unspecified
792,injury ureter
793,pain forearm
794,lateral subluxation ulnohumeral joint
795,unspecified ptosis bilateral eyelids
796,dislocation carpometacarpal joint unspecified hand
797,pedestrian skateboard injured collision two- three-wheeled traffic accident sequela
798,longitudinal vaginal septum nonobstructing
799,cataclysmic storms
800,complications introduction embryo embryo transfer
801,slipping tripping stumbling unspecified sequela
802,displaced fracture trochanter unspecified femur fracture
803,foreign body ear sequela
804,person boarding alighting pedal cycle injured collision railway train railway sequela
805,Intracranial hemorrhage
806,urticaria cold heat
807,stress fracture unspecified foot sequela
808,spastic ectropion eyelid
809,scleral ectasia unspecified eye
810,non-pressure chronic ulcer calf fat layer exposed
811,postprocedural hypopituitarism
812,disorders sclera
813,specified injury unspecified blood vessel leg unspecified leg
814,driver bus injured noncollision transport accident traffic accident
815,accidental discharge unspecified firearms gun
816,displaced fracture epiphysis separation femur fracture nonunion
817,specified malignant neoplasm skin
818,corrosion degree unspecified site
819,burn unspecified degree head face neck unspecified site
820,lymphoblastic diffuse lymphoma intrathoracic lymph nodes
821, chronic obstructive pulmonary disease 
822,laceration unspecified muscles fascia tendons thigh thigh sequela
823,MI CHF assess for worsening pulmonary edema
824,Hflu pneumonia bilateral effusions
825,nihss score
826,injury urethra
827,displaced fracture olecranon intraarticular extension unspecified ulna fracture malunion
828,pathological fracture unspecified ulna radius fracture malunion
829,wiskott-aldrich syndrome
830,merkel cell carcinoma unspecified face
831,malignant neoplasm lateral nasopharynx
832,chronic gout renal impairment knee tophus tophi
833,pedestrian roller-skates injured collision nonmotor unspecified whether traffic nontraffic accident
834,displaced segmental fracture shaft unspecified femur fracture
835,unspecified occupant injured collision pick-up truck nontraffic accident sequela
836,surveillance contraceptive pills
837,passenger pick-up truck van injured collision fixed stationary object traffic accident sequela
838,pain shoulder
839,specified injuries larynx
840,specified injury unspecified tibial artery leg sequela
841,injury iliac blood vessels sequela
842,unspecified opioid-induced psychotic disorder hallucinations
843,unspecified occupant special industrial injured nontraffic accident
844,dislocation knee sequela
845,lesch-nyhan syndrome
846,pontine myelinolysis
847,fall stairs steps ice snow
848,renal agenesis bilateral
849,bullous keratopathy bilateral
850,displaced fracture acromial shoulder sequela
851,terrorism fires conflagration hot terrorist injured
852,displaced comminuted fracture shaft fibula fracture iiia iiib iiic healing
853,displaced transverse fracture shaft fibula fracture healing
854,myopathy extraocular muscles orbit
855,unspecified dermatitis
856,transport place occurrence
857,displacement pump
858,nondisplaced maisonneuve's fracture unspecified leg sequela
859,family specified eye disorder
860,unqualified loss eyes
861,abuse alcohol-induced psychotic disorder hallucinations
862, deep venous thrombosis in the distal 
863,intellectual disabilities
864,mastoiditis infectious parasitic diseases ear
865,erosion cornea eye
866,cerebral infarction thrombosis unspecified precerebral artery
867,triplet liveborn infant delivered cesarean
868,nondisplaced comminuted supracondylar fracture intercondylar fracture unspecified humerus fracture
869,acute embolism thrombosis unspecified vein
870,keratoderma diseases
871,war operations weapons forms unconventional warfare civilian sequela
872,strain specified muscles fascia tendons thigh unspecified thigh sequela
873,tear articular cartilage unspecified knee sequela
874,disorders peroxisome biogenesis
875,nondisplaced maisonneuve's fracture unspecified leg fracture iiia iiib iiic
876,malignant neoplasm liver primary unspecified
877,acquired abnormalities ear ossicles
878,irritable bowel syndrome
879,fracture shaft unspecified tibia fracture iiia iiib iiic nonunion
880,disruption operation surgical wound sequela
881,influenza unidentified influenza virus unspecified pneumonia
882,necatoriasis
883,velamentous insertion umbilical cord trimester
884,respiratory specified
885,stevens-johnson syndrome
886,drowning submersion fishing boat overturning sequela
887,stereotyped movement disorders
888,Fluid overloadfailure
889,displaced comminuted fracture shaft unspecified tibia fracture
890,conjunctival hemorrhage eye
891,frostbite tissue necrosis ankle
892,conjunctival xerosis unspecified bilateral
893,driver bus injured collision vehicles nontraffic accident
894,chronic osteomyelitis draining sinus unspecified tibia fibula
895,family endocrine neoplasia men syndrome
896,pathological fracture femur fracture
897,Recent aortobifem bypass graft
898,edema unspecified
899,unspecified wound back pelvis penetration retroperitoneum sequela
900,sprain unspecified rotator cuff capsule
901,nondisplaced fracture middle phalanx little finger fracture healing
902,diabetes mellitus underlying mild nonproliferative diabetic retinopathy macular edema unspecified eye
903,maternal suspected fetal abnormality damage unspecified applicable unspecified
904,Diabetic in respiratory failure
905,displaced fracture epiphysis separation femur sequela
906,unspecified pre-existing diabetes mellitus pregnancy trimester
907,nondisplaced extraarticular fracture unspecified calcaneus sequela
908,secondary kyphosis cervical region
909,degree perineal laceration delivery
910,chronic embolism thrombosis subclavian vein
911,displaced transverse fracture unspecified acetabulum sequela
912,strain extensor fascia tendon finger wrist hand
913,assault larger firearm discharge sequela
914,specified injury superficial palmar arch unspecified hand
915,fracture radius fracture iiia iiib iiic
916, left lobe of liver
917,puncture wound foreign body hand sequela
918,adolescent idiopathic scoliosis site unspecified
919,unspecified occupant transport injured collision pick-up truck van nontraffic accident
920,displaced bimalleolar fracture leg fracture iiia iiib iiic healing
921,dislocation tarsal joint foot sequela
922, acuteonchronic kidney injury after
923,unspecified superficial injury unspecified finger sequela
